id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,2541600,18375950,TRUE,TRUE,0.7813420679886686,0.6905833984093339
297,Springer Science and Business Media LLC,1831607,13840446,TRUE,TRUE,0.8650152570939073,0.6703810700897933
311,Wiley,859193,9260473,TRUE,TRUE,0.6507292308014614,0.6455346287387264
301,Informa UK Limited,759611,6368173,TRUE,TRUE,0.4805485965843043,0.5880697650644855
1968,MDPI AG,733161,505832,TRUE,TRUE,0.9554395282891479,0.8994349902734505
263,Institute of Electrical and Electronics Engineers (IEEE),716142,4047139,TRUE,TRUE,0.8284544126723471,0.8244905845833316
7566,ENCODE Data Coordination Center,400703,63250,FALSE,FALSE,0,0
286,Oxford University Press (OUP),311667,4263991,TRUE,TRUE,0.4963181857559511,0.2093034436517338
1121,JSTOR,299670,2205411,FALSE,TRUE,0,0.002241759019067194
374,Walter de Gruyter GmbH,277135,2632943,TRUE,TRUE,0.186952207407942,0.09551631007583529
1965,Frontiers Media SA,271897,218622,TRUE,TRUE,0.9509446591907965,0.7747116026749366
1086,American Association for Cancer Research (AACR),262861,155146,TRUE,TRUE,0.02118990645245966,0.3090766117076818
179,SAGE Publications,214898,2783320,TRUE,TRUE,0.8101238727210118,0.4935709871664056
276,Ovid Technologies (Wolters Kluwer Health),205052,2379698,TRUE,TRUE,0.5976679086280553,0.410813893191489
316,American Chemical Society (ACS),193506,1710520,TRUE,TRUE,0.7949004165245522,0.4973054977433763
8761,Research Square Platform LLC,191801,82387,TRUE,TRUE,0.2851288575137773,0.04177843591828808
266,IOP Publishing,179422,941971,TRUE,TRUE,0.9259120955066826,0.8518924680271474
56,Cambridge University Press (CUP),155637,2222671,TRUE,TRUE,0.3866882553634419,0.3632516913209377
3145,Copernicus GmbH,128900,231000,TRUE,TRUE,0.08387897595034911,0.2647619047619048
246,Cold Spring Harbor Laboratory,121744,160223,TRUE,TRUE,0.9823317781574451,0.8710921652946206
98,Hindawi Limited,111167,398108,TRUE,TRUE,0.9429686867505646,0.8178233042290032
292,Royal Society of Chemistry (RSC),110654,698218,TRUE,TRUE,0.844009254071249,0.5731934725257728
9060,Egypts Presidential Specialized Council for Education and Scientific Research,97657,190792,TRUE,TRUE,6.143952814442384e-5,0.00405153255901715
242,CABI Publishing,88293,32978,TRUE,TRUE,0.2063243971775792,0.006792407059251622
194,Georg Thieme Verlag KG,86227,920585,TRUE,TRUE,0.5255662379533093,0.03161685232759604
320,Association for Computing Machinery (ACM),82235,528670,TRUE,TRUE,0.9351371070711983,0.7204059243006034
239,BMJ,81996,897567,TRUE,TRUE,0.5584052880628323,0.2390707323241608
2984,Bloomsbury Academic,80894,213080,FALSE,TRUE,0,0.009015393279519428
140,Emerald,77520,447684,TRUE,TRUE,0.6989035087719297,0.5739785205636118
317,AIP Publishing,74131,821984,TRUE,TRUE,0.9172950587473527,0.7445631545139565
15934,Center for Open Science,71782,71388,FALSE,FALSE,0,0
1963,Organisation for Economic Co-Operation and Development (OECD),68483,387006,FALSE,FALSE,0,0
3821,Nomos Verlag,64205,208787,TRUE,TRUE,5.918542169612958e-4,0.001920617662977101
189,SPIE-Intl Soc Optical Eng,56922,543268,TRUE,TRUE,0.4264959066793156,0.1974218985841242
2273,CAIRN,56834,412536,TRUE,TRUE,0.2372523489460534,0.244591987123548
2399,OpenEdition,53047,455443,TRUE,TRUE,0.275510396440892,0.2027652197969889
16,American Physical Society (APS),52651,684261,TRUE,TRUE,0.9863250460580046,0.9694020264197433
2581,Medknow,52232,189018,TRUE,TRUE,0.8064404962475111,0.6838026008105048
530,FapUNIFESP (SciELO),51771,400503,TRUE,TRUE,0.913890015645825,0.7440618422333914
340,Public Library of Science (PLoS),51358,289964,TRUE,TRUE,0.9997079325518906,0.9200521444041329
50,Brill,48938,563309,TRUE,TRUE,0.1053782336834362,0.02630527827533379
250,EDP Sciences,48529,304305,TRUE,TRUE,0.9013579509159472,0.5036657301063078
219,World Scientific Pub Co Pte Ltd,47683,404169,TRUE,TRUE,0.4198771050479206,0.353396722658096
2258,Pensoft Publishers,44158,60812,TRUE,TRUE,0.1223560849676163,0.2001249753338157
378,Inderscience Publishers,40804,143665,FALSE,TRUE,0,0.01536908780844325
147,Project MUSE,40610,442711,TRUE,TRUE,0.001551342033981778,0.01387135173962246
2432,IGI Global,40583,126632,TRUE,TRUE,0.844220486410566,0.6495593530861078
285,Optica Publishing Group,38005,335613,TRUE,TRUE,0.9476121562952243,0.8119590123147792
137,Pleiades Publishing Ltd,36918,282300,TRUE,TRUE,0.9844249417628257,0.9289089620970599
4694,Sciencedomain International,34913,40279,TRUE,FALSE,8.01993526766534e-4,0
1574,Atlantis Press SARL,34302,132065,TRUE,TRUE,0.2708879948691038,0.009124294854806345
7763,Worldwide Protein Data Bank,33457,179523,FALSE,FALSE,0,0
965,Bentham Science Publishers Ltd.,32464,143426,TRUE,TRUE,0.4796697880729423,0.1289305983573411
15,American Psychological Association (APA),30787,647525,TRUE,TRUE,0.003215642966187027,0.03258098142928844
11875,Even3,30015,13799,TRUE,TRUE,0.00123271697484591,0.005942459598521632
9818,Atena Editora Edição de Livros Ltda,28271,32555,FALSE,FALSE,0,0
16089,Brill Deutschland GmbH,28002,130709,TRUE,TRUE,0.3197628740804228,0.08603080124551485
4945,Hans Publishers,27759,29799,TRUE,TRUE,0.9999639756475377,0.9334541427564683
2918,Edward Elgar Publishing,27618,89751,TRUE,TRUE,0.006264030704612934,0.006763155842274738
30764,South Florida Publishing LLC,26908,911,TRUE,TRUE,0.09305782666864873,0.1042810098792536
17914,Publishing House Helvetica (Publications),26025,16238,TRUE,TRUE,0.1481268011527378,0.2832245350412612
1387,American Institute of Aeronautics and Astronautics (AIAA),25592,270201,TRUE,TRUE,0.5888949671772429,0.8454483884219525
233,American Society of Clinical Oncology (ASCO),25419,128987,TRUE,TRUE,0.1557102954482867,0.1921511470148154
28402,VDI Verlag GmbH,24975,12137,FALSE,FALSE,0,0
278,Mary Ann Liebert Inc,24647,181732,TRUE,TRUE,0.8763744066214955,0.8252646754561662
33,ASME International,24456,298018,TRUE,TRUE,0.3324746483480536,0.2103631324282426
7437,IOS Press,23862,81425,TRUE,TRUE,0.6792808649735982,0.3323426466073073
5471,Transcript Verlag,23575,87021,TRUE,TRUE,0.1150795334040297,0.002114432148561841
