id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,3585997,20515480,TRUE,TRUE,0.7478949368892389,0.695796052541788
297,Springer Science and Business Media LLC,2471902,15490720,TRUE,TRUE,0.87564838735516215,0.6964540705661196
286,Oxford University Press (OUP),2215735,5028905,TRUE,TRUE,0.09643301207048677,0.2497374676992307
311,Wiley,1135228,10606048,TRUE,TRUE,0.6559554556441525,0.650624059027453
263,Institute of Electrical and Electronics Engineers (IEEE),1053592,4701580,TRUE,TRUE,0.8617928002490528,0.8269394543961817
301,Informa UK Limited,910076,7041682,TRUE,TRUE,0.429876186164672,0.5772970151165588
1968,MDPI AG,841180,1071321,TRUE,TRUE,0.8982381892103949,0.9400730500008868
374,Walter de Gruyter GmbH,411510,4378508,TRUE,TRUE,0.2174479356516245,0.09034858449499236
1121,JSTOR,368364,2706802,FALSE,TRUE,0,0.001625903926478553
1086,American Association for Cancer Research (AACR),365348,174866,TRUE,TRUE,0.01480779968687388,0.3027003534134709
276,Ovid Technologies (Wolters Kluwer Health),281361,2620157,TRUE,TRUE,0.6081688649102043,0.423118156660078
179,SAGE Publications,273427,3134354,TRUE,TRUE,0.8122314182578897,0.5186210619476932
316,American Chemical Society (ACS),255823,1857006,TRUE,TRUE,0.8252854512690415,0.5237495193876595
1965,Frontiers Media SA,242576,486853,TRUE,TRUE,0.9362467845128949,0.7830207475357038
292,Royal Society of Chemistry (RSC),226831,785058,TRUE,TRUE,0.5050059295246241,0.6027389059152317
56,Cambridge University Press (CUP),165428,2372206,TRUE,TRUE,0.3714727857436468,0.3634966777758761
3145,Copernicus GmbH,163083,326595,TRUE,TRUE,0.07389488787917808,0.2149696106798941
246,Cold Spring Harbor Laboratory,162823,257667,TRUE,TRUE,0.9540298360796693,0.9259509366740794
266,IOP Publishing,146484,1095602,TRUE,TRUE,0.8724365801043117,0.8677777149001188
9060,Egyptian Knowledge Bank,141173,293792,TRUE,TRUE,0.005532219333725287,0.01243396688813855
317,AIP Publishing,116334,878896,TRUE,TRUE,0.9476421338559664,0.7622710764413537
320,Association for Computing Machinery (ACM),116173,610280,TRUE,TRUE,0.9500228108080191,0.7376990889427804
10523,Schwabe Verlagsgruppe AG,113325,6319,FALSE,FALSE,0,0
