id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,2391654,19140993,TRUE,TRUE,0.8029648101272174,0.7036920707300818
297,Springer Science and Business Media LLC,1178968,9208830,TRUE,TRUE,0.9321474374198452,0.7238852275479079
311,Wiley,676750,9010874,TRUE,TRUE,0.8307041004802364,0.7036495017020546
1968,MDPI AG,612975,1012068,TRUE,TRUE,0.9961988661854072,0.986185710841564
301,Informa UK Limited,350840,4782767,TRUE,TRUE,0.8916001596169194,0.6649903706369137
263,Institute of Electrical and Electronics Engineers (IEEE),246354,1360054,TRUE,TRUE,0.8001777929321221,0.7299695453268767
286,Oxford University Press (OUP),234422,3574626,TRUE,TRUE,0.5519703782068236,0.3197514928834513
276,Ovid Technologies (Wolters Kluwer Health),219919,2603469,TRUE,TRUE,0.5869342803486738,0.4214645920500686
179,SAGE Publications,197732,2837317,TRUE,TRUE,0.8869176461068518,0.5686171125750136
1965,Frontiers Media SA,190384,478773,TRUE,TRUE,0.9596867383813766,0.7962207559741254
316,American Chemical Society (ACS),182278,1782612,TRUE,TRUE,0.9151022065197116,0.5425033602376736
266,IOP Publishing,111449,1084309,TRUE,TRUE,0.9552620481116924,0.876805412479284
9060,Egyptian Knowledge Bank,110088,288771,TRUE,TRUE,0.007094324540367706,0.01261206977154908
292,Royal Society of Chemistry (RSC),104662,748124,TRUE,TRUE,0.8628442032447307,0.621732493543851
374,Walter de Gruyter GmbH,90207,1234043,TRUE,TRUE,0.7133592736705577,0.2611861985360316
56,Cambridge University Press (CUP),66701,1655723,TRUE,TRUE,0.5491821711818414,0.4259033666863358
30764,Brazilian Journals,57921,20544,TRUE,TRUE,0.4115605738851194,0.02574961059190031
250,EDP Sciences,54872,316718,TRUE,TRUE,0.9669412450794576,0.6058323177084978
2273,CAIRN.INFO,53638,437381,TRUE,TRUE,0.2129460457138596,0.2416474423900444
194,Georg Thieme Verlag KG,53280,695033,TRUE,TRUE,0.7091028528528529,0.08771957590502898
4945,Hans Publishers,51990,49786,TRUE,TRUE,0.999153683400654,0.9589241955569839
16,American Physical Society (APS),51233,725943,TRUE,TRUE,0.9918021587648586,0.9714977622210008
340,Public Library of Science (PLoS),50128,331587,TRUE,TRUE,0.9998005106926269,0.9296021858516769
140,Emerald,49733,422176,TRUE,TRUE,0.9778215671686808,0.6565437163647388
530,FapUNIFESP (SciELO),42688,428411,TRUE,TRUE,0.964556784107946,0.7736215923494028
317,AIP Publishing,42607,656625,TRUE,TRUE,0.9560166169878189,0.8990930896630497
239,BMJ,42326,844876,TRUE,TRUE,0.9434626470727213,0.3261022919339643
2581,Medknow,41942,236889,TRUE,TRUE,0.9175766534738448,0.7007501403610974
17914,Publishing House Helvetica (Publications),41532,47183,TRUE,TRUE,0.1518106520273524,0.1996057902210542
137,Pleiades Publishing Ltd,38989,314938,TRUE,TRUE,0.9831747415937829,0.933415465901225
23359,Omniscient Pte Ltd,36321,12130,FALSE,FALSE,0,0
1086,American Association for Cancer Research (AACR),35518,174639,TRUE,TRUE,0.1204459710569289,0.3030880845630128
147,Project MUSE,35313,480753,FALSE,TRUE,0,0.01434832439943172
378,Inderscience Publishers,35276,139955,FALSE,TRUE,0,0.01577649958915366
2399,OpenEdition,30545,303307,TRUE,TRUE,0.4637092813881159,0.3732093225675636
