id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,2371981,17452559,TRUE,TRUE,0.7819291132601821,0.6843741940651799
297,Springer Science and Business Media LLC,1796097,13130307,TRUE,TRUE,0.8584174462737814,0.6581662561279032
311,Wiley,927945,9069556,TRUE,TRUE,0.6582857820237191,0.6487092642682839
301,Informa UK Limited,808476,5981533,TRUE,TRUE,0.5846122828630658,0.5835916979811028
263,Institute of Electrical and Electronics Engineers (IEEE),657271,3786417,TRUE,TRUE,0.8372771657352903,0.8209251648722262
1968,MDPI AG,566813,328714,TRUE,TRUE,0.9406453274713177,0.8880090291256229
374,Walter de Gruyter GmbH,320924,2259018,TRUE,TRUE,0.1622564844012913,0.1028743462867494
286,Oxford University Press (OUP),307422,3976851,TRUE,TRUE,0.4160697672905648,0.1811624322862486
1121,JSTOR,288997,2074475,FALSE,TRUE,0,0.002197664469323564
266,IOP Publishing,230746,856144,TRUE,TRUE,0.9384518041482843,0.7879036704105851
179,SAGE Publications,219544,2683439,TRUE,TRUE,0.8099879750756113,0.4863986101416876
276,Ovid Technologies (Wolters Kluwer Health),204012,2230243,TRUE,TRUE,0.6177675822990804,0.3962375400348751
1965,Frontiers Media SA,199444,166838,TRUE,TRUE,0.9597781833497122,0.7283472590177298
316,American Chemical Society (ACS),195512,1626889,TRUE,TRUE,0.7684285363558248,0.4952587422989522
7566,ENCODE Data Coordination Center,181379,21499,FALSE,FALSE,0,0
8761,Research Square Platform LLC,179543,14172,FALSE,FALSE,0,0
56,Cambridge University Press (CUP),156942,2176769,TRUE,TRUE,0.5045685667316588,0.3576226967583607
3145,Copernicus GmbH,133241,177233,TRUE,TRUE,0.08169407314565336,0.3224343096375957
246,Cold Spring Harbor Laboratory,127435,106575,TRUE,TRUE,0.9780594028328167,0.817396199859254
292,Royal Society of Chemistry (RSC),111606,642752,TRUE,TRUE,0.8414153360930416,0.5550585606890371
17262,Qeios Ltd,105977,1106,TRUE,TRUE,0.9693990205421931,0.833634719710669
98,Hindawi Limited,91524,261672,TRUE,TRUE,0.9273742406363358,0.8250825460882326
194,Georg Thieme Verlag KG,90547,884900,TRUE,TRUE,0.4314113112527196,0.02063057972652277
9060,Egypts Presidential Specialized Council for Education and Scientific Research,84807,149736,TRUE,TRUE,3.773273432617591e-4,0.003806699791633275
2984,Bloomsbury Academic,79255,171209,FALSE,TRUE,0,0.00290288477825348
239,BMJ,79160,897354,TRUE,TRUE,0.6185573521980798,0.2292963535015167
320,Association for Computing Machinery (ACM),78910,482518,TRUE,TRUE,0.9285515143834748,0.4524929639930531
140,Emerald,78418,417303,TRUE,TRUE,0.6960519268535285,0.5653422093778382
250,EDP Sciences,73656,259492,TRUE,TRUE,0.6452563267079396,0.519491930387064
15934,Center for Open Science,72596,44713,FALSE,FALSE,0,0
