id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,3116237,21562591,TRUE,TRUE,0.7467830591832393,0.6973165237888155
297,Springer Science and Business Media LLC,2093542,16317176,TRUE,TRUE,0.8801132243824104,0.7038937987798869
311,Wiley,944462,11015106,TRUE,TRUE,0.661161592525692,0.6496353280667476
263,Institute of Electrical and Electronics Engineers (IEEE),921698,5065436,TRUE,TRUE,0.8641062473825483,0.8313961522759344
301,Informa UK Limited,768991,7367374,TRUE,TRUE,0.4293106161190443,0.5683423971689234
1968,MDPI AG,653298,1405736,TRUE,TRUE,0.8838125939464073,0.9232302509148232
286,Oxford University Press (OUP),466020,7026586,TRUE,TRUE,0.3877065362001631,0.1991321247615841
374,Walter de Gruyter GmbH,333415,4555171,TRUE,TRUE,0.2177256572139826,0.09286544895899627
276,Ovid Technologies (Wolters Kluwer Health),246743,2677700,TRUE,TRUE,0.6439372140243087,0.4339817754042649
179,SAGE Publications,244351,3437191,TRUE,TRUE,0.8078788300436667,0.5417566262683686
1121,JSTOR,242779,2901239,FALSE,TRUE,0,0.001458342453000253
292,Royal Society of Chemistry (RSC),232461,830126,TRUE,TRUE,0.4070059063670895,0.610106176652701
316,American Chemical Society (ACS),217737,1956804,TRUE,TRUE,0.8300885931192218,0.5336482345702482
1965,Frontiers Media SA,189787,581789,TRUE,TRUE,0.9433417462734539,0.8059485483568785
3145,Copernicus GmbH,152929,375933,TRUE,TRUE,0.06946360729488849,0.1970643705128307
54368,openRxiv,137403,268492,TRUE,TRUE,0.9462384372975845,0.9845284030809112
56,Cambridge University Press (CUP),124507,2400877,TRUE,TRUE,0.4306986755764736,0.366358209937452
266,IOP Publishing,121141,1146136,TRUE,TRUE,0.8503396868112365,0.8721521704230563
9060,Egyptian Knowledge Bank,120505,344338,TRUE,TRUE,0.002282062984938384,0.01207824869750071
10523,Schwabe Verlagsgruppe AG,113225,6550,FALSE,FALSE,0,0
