id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,2393021,16226793,TRUE,TRUE,0.7847941994658634,0.693770543569515
297,Springer Science and Business Media LLC,1146212,7903381,TRUE,TRUE,0.9220868390838693,0.6935980942839527
311,Wiley,750073,7990839,TRUE,TRUE,0.7985316095899999,0.686353210219853
1968,MDPI AG,586942,305315,TRUE,TRUE,0.9874757642152036,0.9560584969621538
301,Informa UK Limited,424592,4219464,TRUE,TRUE,0.8883021818592908,0.6443946434902632
286,Oxford University Press (OUP),237995,2889719,TRUE,TRUE,0.572318746192147,0.2493242422533125
266,IOP Publishing,233616,851137,TRUE,TRUE,0.9565611944387371,0.7925398613854174
263,Institute of Electrical and Electronics Engineers (IEEE),233543,1113463,TRUE,TRUE,0.7524738484989916,0.7027920999620104
1965,Frontiers Media SA,217961,164940,TRUE,TRUE,0.9794963319125899,0.73686188917182
179,SAGE Publications,216144,2452734,TRUE,TRUE,0.8719094677622325,0.5326125866074348
276,Ovid Technologies (Wolters Kluwer Health),214245,2229560,TRUE,TRUE,0.6294989381315783,0.3963921132420747
316,American Chemical Society (ACS),178013,1578823,TRUE,TRUE,0.8968333773376101,0.5075097081813478
292,Royal Society of Chemistry (RSC),115345,623646,TRUE,TRUE,0.8652910832719234,0.5720665249195858
98,Hindawi Limited,95095,260007,TRUE,TRUE,0.9938061938061938,0.83038918182972
9060,Egypts Presidential Specialized Council for Education and Scientific Research,90243,151994,TRUE,TRUE,3.545981405760004e-4,0.003750148032159164
56,Cambridge University Press (CUP),86959,1584249,TRUE,TRUE,0.6792281419979531,0.4116897028181807
374,Walter de Gruyter GmbH,74079,795651,TRUE,TRUE,0.7493486683135571,0.2827458270020398
239,BMJ,67656,858579,TRUE,TRUE,0.7653571006266998,0.2397077030768281
194,Georg Thieme Verlag KG,61551,629241,TRUE,TRUE,0.6455459700086107,0.02752045718572057
16,American Physical Society (APS),58178,660857,TRUE,TRUE,0.9877101309773454,0.9700010743625322
340,Public Library of Science (PLoS),54929,269538,TRUE,TRUE,0.9997087148864898,0.9140195445540146
140,Emerald,52108,354590,TRUE,TRUE,0.9775466339141782,0.6064920048506726
250,EDP Sciences,50761,254931,TRUE,TRUE,0.9661748192509998,0.5253146929953595
530,FapUNIFESP (SciELO),50464,367709,TRUE,TRUE,0.9748137285986049,0.750416769782627
378,Inderscience Publishers,45072,125940,FALSE,TRUE,0,0.01753215817055741
2273,CAIRN,43536,297113,TRUE,TRUE,0.2757258360896729,0.2387913016259807
147,Project Muse,42690,381119,TRUE,TRUE,0.001264933239634575,0.01039307932692938
137,Pleiades Publishing Ltd,40201,265459,TRUE,TRUE,0.9856719982089998,0.9254687164496213
317,AIP Publishing,38588,608570,TRUE,TRUE,0.9301855499118897,0.8847560675025059
2399,OpenEdition,36655,242165,TRUE,TRUE,0.3740553812576729,0.2773893832717362
1086,American Association for Cancer Research (AACR),30600,142474,TRUE,TRUE,0.2088888888888889,0.3195740977301122
965,Bentham Science Publishers Ltd.,29096,118045,TRUE,TRUE,0.5246081935661259,0.09558219323139482
17106,The Russian Academy of Sciences,28454,9712,TRUE,TRUE,0.005974555422787657,0.01585667215815486
219,World Scientific Pub Co Pte Ltd,27138,165670,TRUE,TRUE,0.8073918490677279,0.8006156817770266
278,Mary Ann Liebert Inc,27013,168036,TRUE,TRUE,0.8771702513604561,0.8373265252683949
285,Optica Publishing Group,26007,187722,TRUE,TRUE,0.9580882070211866,0.8733606077071414
4694,Sciencedomain International,24067,32545,TRUE,FALSE,7.063614077367349e-4,0
233,American Society of Clinical Oncology (ASCO),23998,119434,TRUE,TRUE,0.1715559629969164,0.1955305859303046
8611,AME Publishing Company,23110,25684,TRUE,TRUE,7.788836001730852e-4,0.001557389814670612
19099,"Research, Society and Development",22997,909,FALSE,FALSE,0,0
15,American Psychological Association (APA),22432,212654,TRUE,TRUE,0.0102086305278174,0.09847921976544056
13,American Geophysical Union (AGU),22328,222729,TRUE,TRUE,0.903977069150842,0.8476489366000834
4492,"Cureus, Inc.",22254,6535,TRUE,TRUE,0.9033432191965489,1.530221882172915e-4
10,American Medical Association (AMA),21419,603005,TRUE,TRUE,0.861338064335403,0.0173630401074618
4945,Hans Publishers,21310,23924,TRUE,TRUE,0.9998592210229938,0.9171961210499916
77,The Electrochemical Society,21087,153556,TRUE,TRUE,0.2606819367382748,0.1728359686368491
50,Brill,19409,213127,TRUE,TRUE,0.1118553248492967,0.0627607013658523
28402,VDI Verlag GmbH,18737,0,FALSE,FALSE,0,0
7437,IOS Press,18511,74341,TRUE,TRUE,0.9243152720004322,0.2884680055420293
221,American Association for the Advancement of Science (AAAS),18443,384800,TRUE,TRUE,0.6706609553760234,0.3475935550935551
235,American Society for Microbiology,17758,293845,TRUE,TRUE,0.9416600968577543,0.6227977334989535
5130,Mark Allen Group,17741,216421,TRUE,TRUE,0.4691392818894087,0.2784110599248687
127,S. Karger AG,17722,343728,TRUE,TRUE,0.7623293082044916,0.2769689987431923
4035,Diva Enterprises Private Limited,16768,43942,FALSE,FALSE,0,0
30764,South Florida Publishing LLC,15382,184,TRUE,FALSE,0.005070862046547913,0
265,Institution of Engineering and Technology (IET),14869,186753,TRUE,TRUE,0.9090053130674558,0.6196526963422274
2208,American Astronomical Society,14542,151729,TRUE,TRUE,0.9293082107000413,0.5499080597644485
200,University of Chicago Press,14516,461763,TRUE,TRUE,0.531069165059245,0.1236824951327846
234,American Society of Hematology,14129,152691,TRUE,TRUE,0.291386510014863,0.2387043113215579
320,Association for Computing Machinery (ACM),13965,117063,TRUE,TRUE,0.8947368421052632,0.7197235676516064
30,American Society of Civil Engineers (ASCE),13627,123559,TRUE,TRUE,0.9436413003595802,0.5912074393609531
7570,Medip Academy,13447,26196,FALSE,TRUE,0,7.634753397465261e-5
124,Japan Society of Mechanical Engineers,11707,309674,TRUE,TRUE,0.1243700350217818,0.05495779432564568
2321,American Institute of Mathematical Sciences (AIMS),11684,18739,TRUE,TRUE,0.7984423142759329,0.6058487646085704
1010,JMIR Publications Inc.,11622,9188,TRUE,TRUE,0.9586990191017037,0.9277318241184153
4802,Verlag Dr. Otto Schmidt,11540,22938,FALSE,TRUE,0,8.283198186415555e-4
7770,Knowledge E DMCC,11368,7757,TRUE,TRUE,0.005190007037297678,0.09036998839757639
2457,"Trans Tech Publications, Ltd.",11305,377998,TRUE,TRUE,0.9946926138876603,0.8389806295271404
341,Proceedings of the National Academy of Sciences,11242,143764,TRUE,TRUE,0.9541896459704678,0.5665048273559445
22708,Institute of Medico-legal Publications Private Limited,10857,517,FALSE,FALSE,0,0
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),10841,8860,FALSE,FALSE,0,0
28750,CMV Verlag,10785,7544,TRUE,TRUE,0.3916550764951321,0.4431336161187699
27842,"Chongqing VIP Information Co.,Ltd.",10763,5,FALSE,FALSE,0,0
17914,Publishing House Helvetica (Publications),10727,2721,TRUE,TRUE,0.2486249650414841,0.2285924292539508
2249,Spandidos Publications,10562,63009,TRUE,TRUE,0.4490626775231964,0.6766493675506674
416,Bioscientifica,10526,75268,TRUE,TRUE,0.0590917727531826,0.1183504278046447
33,ASME International,10089,113961,TRUE,TRUE,0.9165427693527604,0.4897991418116724
4911,Science Publishing Group,9881,20326,FALSE,FALSE,0,0
7284,ECO-Vector LLC,9800,31688,TRUE,TRUE,0.4366326530612245,0.36196667508205
20063,Brazilian Journal of Development,9767,1937,FALSE,FALSE,0,0
21590,Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,9542,20682,TRUE,TRUE,0.1228254034793544,1.450536698578474e-4
4194,Consortium Erudit,9507,113869,TRUE,TRUE,0.4797517618596823,0.2313447909439795
4913,Magnolia Press,9266,34696,TRUE,TRUE,0.2637599827325707,0.002276919529628776
17149,Edizioni Minerva Medica,9258,7340,TRUE,TRUE,0.7456254050550875,0.3795640326975477
9531,AkiNik Publications,9190,2374,FALSE,FALSE,0,0
2432,IGI Global,8890,26978,TRUE,TRUE,0.5038245219347582,0.6942323374601527
2060,Baishideng Publishing Group Inc.,8876,39325,TRUE,TRUE,0.9998873366381253,0.5300190718372537
11780,ASOS Yayinevi,8838,17242,TRUE,FALSE,4.525910839556461e-4,0
1670,Nepal Journals Online (JOL),8726,20342,FALSE,TRUE,0,9.831874938550782e-5
9296,IP Innovative Publication Pvt Ltd,8684,2090,TRUE,FALSE,0.4129433440810686,0
17807,"Computers, Materials and Continua (Tech Science Press)",8580,9704,TRUE,TRUE,0.00979020979020979,0.4930956306677659
1627,Allerton Press,8403,44236,TRUE,TRUE,0.9928596929667975,0.9789537932905326
4873,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",8322,53051,FALSE,TRUE,0,0.004505098867127858
175,The Royal Society,8313,91302,TRUE,TRUE,0.9630698905329003,0.6568749863091718
2099,Shanghai Institute of Optics and Fine Mechanics,8283,35200,FALSE,FALSE,0,0
17074,SynthesisHub Advance Scientific Research,8250,2156,TRUE,TRUE,0.02206060606060606,0.3098330241187384
80,The Endocrine Society,8239,100031,TRUE,TRUE,0.4307561597281223,0.2432046065719627
1167,American Diabetes Association,8221,49437,TRUE,TRUE,0.2714998175404452,0.4216072981774784
30674,Wissenschaftliche Verlagsgesellschaft mbH,7626,10368,TRUE,TRUE,0.002098085496984002,0.006558641975308642
2258,Pensoft Publishers,7596,17269,TRUE,TRUE,0.7451290152711953,0.5967919393132202
