id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,1975597,18011549,TRUE,TRUE,0.791452406538378,0.7034580423926893
297,Springer Science and Business Media LLC,906960,8743303,TRUE,TRUE,0.9273319661286055,0.714442242251012
1968,MDPI AG,585714,709593,TRUE,TRUE,0.9973485352919684,0.974457188839236
311,Wiley,530610,8520729,TRUE,TRUE,0.7940295132017866,0.6957580742211142
301,Informa UK Limited,288842,4590787,TRUE,TRUE,0.893201127259886,0.6596840585285269
1965,Frontiers Media SA,217688,301495,TRUE,TRUE,0.9680368233435008,0.8412743163236538
263,Institute of Electrical and Electronics Engineers (IEEE),194591,1266919,TRUE,TRUE,0.734478984125679,0.7194051079824361
286,Oxford University Press (OUP),186679,3233991,TRUE,TRUE,0.5506779016386417,0.2826028272805954
276,Ovid Technologies (Wolters Kluwer Health),164677,2471574,TRUE,TRUE,0.56756559811024,0.4219473096901003
179,SAGE Publications,156268,2620618,TRUE,TRUE,0.8773837253948344,0.5534221317261806
316,American Chemical Society (ACS),140766,1713808,TRUE,TRUE,0.8941079522043675,0.5288054437836677
266,IOP Publishing,94695,1038529,TRUE,TRUE,0.9503247267543165,0.8704918206424664
292,Royal Society of Chemistry (RSC),85659,707834,TRUE,TRUE,0.8582168832230122,0.6075379255588175
9060,Egyptian Knowledge Bank,80295,232793,FALSE,TRUE,0,0.00306710253315177
98,Hindawi Limited,74461,425858,TRUE,TRUE,0.9944131827399578,0.861010008030846
56,Cambridge University Press (CUP),58662,1619825,TRUE,TRUE,0.5994510927005557,0.4251496303613045
374,Walter de Gruyter GmbH,55225,865638,TRUE,TRUE,0.7642734268899956,0.3060390139989233
2581,Medknow,44801,215150,TRUE,TRUE,0.7814334501462021,0.6846153846153846
194,Georg Thieme Verlag KG,42468,673626,TRUE,TRUE,0.7743948384666102,0.0674677046313533
16,American Physical Society (APS),41280,704977,TRUE,TRUE,0.9904554263565891,0.97107423362748
239,BMJ,41234,878763,TRUE,TRUE,0.8320318184022893,0.2671937712443514
340,Public Library of Science (PLoS),40314,310806,TRUE,TRUE,0.9997271419358039,0.9253939756632755
530,FapUNIFESP (SciELO),40024,407090,TRUE,TRUE,0.9699930041974815,0.7653025129578226
2273,CAIRN,38985,390688,TRUE,TRUE,0.287956906502501,0.2521474936522238
140,Emerald,36870,394321,TRUE,TRUE,0.979224301600217,0.6434300988281121
250,EDP Sciences,34389,303503,TRUE,TRUE,0.9580679868562622,0.5928475171579853
378,Inderscience Publishers,31903,160629,FALSE,TRUE,0,0.01374596119007153
317,AIP Publishing,29946,637657,TRUE,TRUE,0.9431977559607293,0.8981286177364947
4945,Hans Publishers,29938,37616,TRUE,TRUE,1,0.9472564866014462
147,Project MUSE,29456,454051,TRUE,TRUE,5.431830526887561e-4,0.0150555774571579
137,Pleiades Publishing Ltd,29233,298774,TRUE,TRUE,0.9834433687955393,0.9311385863562425
30764,South Florida Publishing LLC,27349,9840,TRUE,TRUE,0.2594244762148525,0.00975609756097561
17914,Publishing House Helvetica (Publications),27259,33367,TRUE,TRUE,0.1143842400675006,0.241166421913867
2399,OpenEdition,25615,283436,TRUE,TRUE,0.3588522350185438,0.2924328596226309
1086,American Association for Cancer Research (AACR),23754,163661,TRUE,TRUE,0.167424433779574,0.3090229193271457
23359,Omniscient Pte Ltd,22131,3096,FALSE,FALSE,0,0
219,World Scientific Pub Co Pte Ltd,20699,187687,TRUE,TRUE,0.7427411952268226,0.8062252580093453
965,Bentham Science Publishers Ltd.,20668,139012,TRUE,TRUE,0.6774724211341204,0.1671654245676632
278,Mary Ann Liebert Inc,19169,190120,TRUE,TRUE,0.8758412019406333,0.8330528087523669
285,Optica Publishing Group,18926,206743,TRUE,TRUE,0.9528690690056008,0.8829754816366213
4694,Sciencedomain International,18634,51192,TRUE,TRUE,0.001985617688097027,1.758087201125176e-4
233,American Society of Clinical Oncology (ASCO),18302,135740,TRUE,TRUE,0.1715113102393181,0.1931412995432444
15,American Psychological Association (APA),17468,227237,TRUE,TRUE,0.001259445843828715,0.09331226868863784
234,American Society of Hematology,17432,165232,TRUE,TRUE,0.1810463515374025,0.2386704754526968
10,American Medical Association (AMA),16236,620337,TRUE,TRUE,0.8572924365607292,0.0388159984008692
2751,"Scientific Research Publishing, Inc.",15882,103019,TRUE,TRUE,0.9054275280191412,0.9472427416301847
13,American Geophysical Union (AGU),15296,240196,TRUE,TRUE,0.931027719665272,0.8482739096404603
50,Brill,14920,238458,TRUE,TRUE,0.4366621983914209,0.07444078202450746
4492,"Cureus, Inc.",14289,20762,TRUE,TRUE,0.9906921408076143,0.5862633657643772
235,American Society for Microbiology,13716,275463,TRUE,TRUE,0.960702828813065,0.6614391043443221
7437,IOS Press,13626,87367,TRUE,TRUE,0.9306472919418758,0.3829363489647121
77,The Electrochemical Society,13465,169058,TRUE,TRUE,0.2813962124025251,0.1809379029682121
