id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,2586428,19141425,TRUE,TRUE,0.8021155044718044,0.703668614013847
297,Springer Science and Business Media LLC,1284746,9209159,TRUE,TRUE,0.9333035479386587,0.7349272610017918
311,Wiley,737686,9081515,TRUE,TRUE,0.8346518708501991,0.7059610648663797
1968,MDPI AG,660456,1012064,TRUE,TRUE,0.9959709655147353,0.9861886204824991
301,Informa UK Limited,380221,4773919,TRUE,TRUE,0.8931779149494636,0.6647961559465085
263,Institute of Electrical and Electronics Engineers (IEEE),265359,1360057,TRUE,TRUE,0.8072648751314258,0.7299664646408202
286,Oxford University Press (OUP),253962,3579657,TRUE,TRUE,0.5509052535418685,0.3194409408499194
276,Ovid Technologies (Wolters Kluwer Health),238397,2604693,TRUE,TRUE,0.6024446616358426,0.4217798412327288
179,SAGE Publications,214035,2839018,TRUE,TRUE,0.8881771672857243,0.5683602569620904
1965,Frontiers Media SA,205483,478772,TRUE,TRUE,0.9601621545334651,0.79623286240632285
316,American Chemical Society (ACS),198259,1782611,TRUE,TRUE,0.9167150041107844,0.5425036645684336
9060,Egyptian Knowledge Bank,120182,290255,TRUE,TRUE,0.006498477309414055,0.01254758746619352
266,IOP Publishing,119827,1084310,TRUE,TRUE,0.9539753144116101,0.8768046038494526
292,Royal Society of Chemistry (RSC),113129,748124,TRUE,TRUE,0.8639959692032989,0.621732493543851
374,Walter de Gruyter GmbH,97480,1236689,TRUE,TRUE,0.7103508411981945,0.2605408473755326
56,Cambridge University Press (CUP),71324,1659461,TRUE,TRUE,0.5451180528293422,0.4257912659592482
30764,Brazilian Journals,62748,21545,TRUE,TRUE,0.4146267610123032,0.02469250406126712
2273,CAIRN.INFO,59211,439657,TRUE,TRUE,0.2193680228335951,0.2405648039266974
194,Georg Thieme Verlag KG,58000,694182,TRUE,TRUE,0.7044655172413793,0.08752891892904166
250,EDP Sciences,57716,316719,TRUE,TRUE,0.9659193291288378,0.605830404869932
16,American Physical Society (APS),57657,725944,TRUE,TRUE,0.9546976082695943,0.971496423966587
4945,Hans Publishers,57190,49786,TRUE,TRUE,0.999125721279944,0.9589241955569839
340,Public Library of Science (PLoS),55705,331587,TRUE,TRUE,0.9997666277712952,0.9295961542521269
140,Emerald,54392,422300,TRUE,TRUE,0.9699955875864098,0.6565853658536585
17914,Publishing House Helvetica (Publications),46667,47308,TRUE,TRUE,0.1520346283240834,0.1991206561258138
530,FapUNIFESP (SciELO),45966,429060,TRUE,TRUE,0.9625375277378933,0.7725026802778165
317,AIP Publishing,45833,656625,TRUE,TRUE,0.9573669626688194,0.8990930896630497
239,BMJ,45828,844876,TRUE,TRUE,0.9440953129091385,0.3261022919339643
137,Pleiades Publishing Ltd,41977,314938,TRUE,TRUE,0.9833718464873621,0.933415465901225
2581,Medknow,41204,233207,TRUE,TRUE,0.9185515969323367,0.6985768008678985
23359,Omniscient Pte Ltd,40231,12130,FALSE,FALSE,0,0
147,Project MUSE,38144,482144,TRUE,TRUE,1.310822147651007e-4,0.01437329926329064
1086,American Association for Cancer Research (AACR),37871,174638,TRUE,TRUE,0.1247392463890576,0.3030898200849758
378,Inderscience Publishers,37689,139956,FALSE,TRUE,0,0.01577638686444311
2399,OpenEdition,33734,303052,TRUE,TRUE,0.4520661647003024,0.3726654171561316
4694,Sciencedomain International,31579,60294,TRUE,TRUE,0.002248329586117356,3.482933625236342e-4
233,American Society of Clinical Oncology (ASCO),28957,144212,TRUE,TRUE,0.1477017646855683,0.1915721299198402
219,World Scientific Pub Co Pte Ltd,27800,197029,TRUE,TRUE,0.77,0.8146110471047409
32412,Darcy & Roy Press Co. Ltd.,26016,3631,TRUE,TRUE,0.4146294587945879,0.9270173505921234
965,Bentham Science Publishers Ltd.,24728,143326,TRUE,TRUE,0.6960934972500809,0.2038708957202462
32523,EWA Publishing,24436,156,FALSE,FALSE,0,0
285,Optica Publishing Group,24138,216507,TRUE,TRUE,0.9547601292567736,0.8859574979099983
278,Mary Ann Liebert Inc,23318,203049,TRUE,TRUE,0.8812076507419161,0.8329024028682732
29645,Ukrainian Assembly of Doctors of Science in Public Administration,21989,3034,FALSE,FALSE,0,0
15,American Psychological Association (APA),21611,286580,TRUE,TRUE,0.002313636573966961,0.07448182008514202
19162,Comprehensive Publications,21426,12248,FALSE,FALSE,0,0
17106,The Russian Academy of Sciences,21178,43219,TRUE,TRUE,0.8961658324676551,0.007612392697656123
10,American Medical Association (AMA),20585,565251,TRUE,TRUE,0.8641243623998057,0.05477035865482768
2751,"Scientific Research Publishing, Inc.",20325,111166,TRUE,TRUE,0.8998277982779828,0.9421225914398287
234,American Society of Hematology,20193,173152,TRUE,TRUE,0.1951666419056109,0.2370633893919793
13,American Geophysical Union (AGU),19959,248163,TRUE,TRUE,0.9347662708552533,0.8507996760193905
23064,International Journal for Multidisciplinary Research (IJFMR),19791,835,FALSE,FALSE,0,0
265,Institution of Engineering and Technology (IET),18700,207140,TRUE,TRUE,0.4536363636363636,0.6287728106594574
320,Association for Computing Machinery (ACM),18307,136054,TRUE,TRUE,0.9331403288359644,0.7376482867096888
77,The Electrochemical Society,17551,177753,TRUE,TRUE,0.2401002791863711,0.1838112436920896
30593,Science Research Society,17168,606,TRUE,TRUE,0.007222739981360671,0.08745874587458746
12033,GSC Online Press,16967,5938,TRUE,TRUE,1.17875876701833e-4,0.001178848097002358
235,American Society for Microbiology,16460,281928,TRUE,TRUE,0.9682867557715674,0.6696496977951817
28402,VDI Verlag GmbH,15653,21584,FALSE,FALSE,0,0
8611,AME Publishing Company,15558,50059,TRUE,TRUE,0.006106183314050649,0.003395992728580275
221,American Association for the Advancement of Science (AAAS),15485,412149,TRUE,TRUE,0.851275427833387,0.3563589866771483
11853,Universitas Mataram,15114,11527,TRUE,TRUE,0.0116448326055313,0.002776090916977531
2208,American Astronomical Society,14971,167990,TRUE,TRUE,0.9575846636831207,0.5889933924638371
33635,Indospace Publications,14957,1213,FALSE,FALSE,0,0
5130,Mark Allen Group,14922,166898,TRUE,TRUE,0.4604610642005093,0.4049299572193795
14667,Universitas Pahlawan Tuanku Tambusai,14808,9444,TRUE,TRUE,0.02937601296596434,0.0713680643795002
127,S. Karger AG,14593,369607,TRUE,TRUE,0.583567463852532,0.2970181841794122
34520,Politeknik Pratama Purwokerto,14000,4131,FALSE,FALSE,0,0
9476,International Journal for Research in Applied Science and Engineering Technology (IJRASET),13512,20879,FALSE,FALSE,0,0
3145,Copernicus GmbH,13489,81228,TRUE,TRUE,0.7463118096226555,0.6230487024178855
2321,American Institute of Mathematical Sciences (AIMS),13304,30560,TRUE,TRUE,0.7341401082381239,0.6728403141361257
416,Bioscientifica,13177,67372,TRUE,TRUE,0.1574713515974805,0.1102089888974648
200,University of Chicago Press,13161,495696,TRUE,TRUE,0.5390167920370792,0.1378122881766244
31492,Green Publication,13134,2972,TRUE,TRUE,4.568296025582458e-4,0.02254374158815612
1670,Nepal Journals Online (JOL),12918,29407,FALSE,TRUE,0,3.400550889244058e-5
1010,JMIR Publications Inc.,12773,21656,TRUE,TRUE,0.9790182416033821,0.9470816401920946
2895,African Journals Online (AJOL),12564,73917,FALSE,TRUE,0,0.001149938444471502
27665,RSIS International,12208,1060,TRUE,FALSE,0.04882044560943644,0
3821,Nomos Verlag,11914,51936,TRUE,TRUE,0,0.009684996919285274
30,American Society of Civil Engineers (ASCE),11896,136387,TRUE,TRUE,0.9588937457969064,0.6343493148173946
10894,Scientific Scholar,11843,32958,TRUE,TRUE,0.9299164063159672,0.7441592329631652
30611,Wurttembergische Landesbibliothek,11727,4351,FALSE,FALSE,0,0
8810,International Journal of Science and Research,11705,13817,FALSE,FALSE,0,0
26763,Everant Journals,11584,4939,FALSE,FALSE,0,0
24,American Physiological Society,11269,177988,TRUE,TRUE,0.4762623125388233,0.5254848641481448
7770,Knowledge E DMCC,11102,20935,TRUE,TRUE,0.2568906503332733,0.109577262956771
22072,SASPR Edu International Pvt. Ltd,10988,10204,FALSE,FALSE,0,0
39909,Asosiasi Riset Ilmu Manajemen dan Bisnis Indonesia,10787,6,FALSE,FALSE,0,0
7570,Medip Academy,10492,40979,TRUE,TRUE,0.2377049180327869,7.32082286048952e-5
19,American Thoracic Society,10257,35062,TRUE,TRUE,0.2827337428097884,0.7909417603103075
32237,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),10188,29382,TRUE,TRUE,0.9132312524538673,0.9168878905452318
4802,Verlag Dr. Otto Schmidt,10185,36063,FALSE,TRUE,0,5.268557801624934e-4
10869,Francis Academic Press Ltd.,10070,5425,FALSE,FALSE,0,0
17807,Tech Science Press,10042,18299,TRUE,TRUE,0.7717586138219478,0.6354992076069731
2060,Baishideng Publishing Group Inc.,9789,49085,TRUE,TRUE,0.9998978445193585,0.6269939900173169
9382,Association for the Advancement of Artificial Intelligence (AAAI),9750,16252,FALSE,FALSE,0,0
341,Proceedings of the National Academy of Sciences,9734,156741,TRUE,TRUE,0.9408259708239162,0.5955940053974391
10063,"Clausius Scientific Press, Inc.",9638,809,FALSE,FALSE,0,0
2560,F1000 Research Ltd,9584,16747,TRUE,TRUE,0.9904006677796326,0.884636054218666
50238,INTERECONOM Publishing,9470,8665,TRUE,TRUE,0.3714889123548046,0.06266589728793999
3433,Academy of Management,9460,61440,TRUE,TRUE,0.08076109936575053,0.08250325520833333
21849,World Wide Journals,9332,8903,TRUE,TRUE,0.06290184312044578,0.9248567898461193
9531,AkiNik Publications,9260,14038,FALSE,FALSE,0,0
23803,Asociacion Latinoamericana para el Avance de la Ciencia,9248,3015,FALSE,TRUE,0,3.316749585406302e-4
37468,Polish Academy of Sciences Chancellery,9236,13596,TRUE,TRUE,0.04211779991338242,0.2864813180347161
4858,Institute of Advanced Engineering and Science,9226,21238,FALSE,FALSE,0,0
4194,Consortium Erudit,8850,127500,TRUE,TRUE,0.4944632768361582,0.2480627450980392
124,Japan Society of Mechanical Engineers,8798,325382,TRUE,TRUE,0.1294612411911798,0.0581501127905047
80,The Endocrine Society,8641,121078,TRUE,TRUE,0.4019210739497743,0.2341218057780935
28583,"Vietnam Medical Journal, Vietnam Medical Association",8624,3287,FALSE,FALSE,0,0
50446,Revista ft Ltda,8609,80,FALSE,FALSE,0,0
29424,"Revista Ibero-Americana de Humanidades, Ciencias e Educacao",8576,2918,FALSE,FALSE,0,0
27204,Institut Agama Islam Nasional Laa Roiba Bogor,8522,2083,FALSE,FALSE,0,0
39852,Apex Publishing,8493,1223,TRUE,TRUE,0.951018485811845,0.5290269828291086
1167,American Diabetes Association,8354,58220,TRUE,TRUE,0.1819487670576969,0.4034695980762625
4911,Science Publishing Group,8354,30324,TRUE,TRUE,0.5508738328944218,0.001154201292705448
18617,XMLink,8247,27493,TRUE,TRUE,0.9642294167576088,0.9180882406430728
2258,Pensoft Publishers,8219,28401,TRUE,TRUE,0.7998539968365981,0.6013520650681314
4913,Magnolia Press,8187,45855,TRUE,TRUE,0.5792109441797972,0.5988441827499728
3964,Centre for Evaluation in Education and Science (CEON/CEES),8037,37944,TRUE,TRUE,0.9544606196341919,0.5089078642209572
1627,Allerton Press,8019,55230,TRUE,TRUE,0.9921436588103255,0.9814231395980445
11138,Tsinghua University Press,7866,12978,TRUE,TRUE,0.8109585558098144,0.729079981507166
10124,Universitas Negeri Padang,7860,13627,TRUE,FALSE,0.009923664122137405,0
2099,Shanghai Institute of Optics and Fine Mechanics,7763,46161,TRUE,TRUE,0.9390699471853665,0.004809254565542341
33,ASME International,7669,136082,TRUE,TRUE,0.9329769200678055,0.4870225305330609
34985,PT Formosa Cendekia Global,7589,1594,FALSE,FALSE,0,0
22926,The publishing house - SCIENTIFIC LIBRARY,7588,3489,FALSE,FALSE,0,0
4027,Human Resources Management Academic Research Society (HRMARS),7574,11881,FALSE,TRUE,0,0.04561905563504755
10499,"Publicidad Permanyer, SLU",7420,11829,TRUE,TRUE,0.01954177897574124,0.2083016315833967
2811,Galenos Yayinevi,7415,27594,TRUE,TRUE,0.7987862440997977,0.108139450605204
36117,International Research Journal of Modernization in Engineering Technology and Science,7330,950,FALSE,FALSE,0,0
17149,Edizioni Minerva Medica,7320,16037,TRUE,TRUE,0.8665300546448087,0.6595996757498285
1861,Bangladesh Academy of Sciences,7276,35914,FALSE,TRUE,0,3.898201258562121e-4
2914,Jaypee Brothers Medical Publishing,7273,25675,TRUE,TRUE,0.931252578028324,0.7937682570593964
